,date,id,link,retweet,text,author
70,Sep-25,7.80108E+17,/realDonaldTrump/status/780108403326775297,FALSE,"Readout of my meeting with Israeli Prime Minister Benjamin Netanyahu:
https://www.facebook.com/DonaldTrump/posts/10157759149590725:0 …pic.twitter.com/6KDPrQxSED",DonaldTrump
71,Sep-25,7.80034E+17,/realDonaldTrump/status/780034352604405760,FALSE,Looking forward to my meeting with Benjamin Netanyahu in Trump Tower at 10:00 A.M.,DonaldTrump
72,Sep-25,7.8003E+17,/realDonaldTrump/status/780030282854432768,FALSE,Bernie Sanders gave Hillary the Dem nomination when he gave up on the e-mails. That issue has only gotten bigger!,DonaldTrump
73,Sep-25,7.80022E+17,/realDonaldTrump/status/780021651962462208,FALSE,"Many on the team and staff of Bernie Sanders have been treated badly by the Hillary Clinton campaign - and they like Trump on trade, a lot!",DonaldTrump
74,Sep-24,7.79729E+17,/realDonaldTrump/status/779729180334387200,FALSE,"If dopey Mark Cuban of failed Benefactor fame wants to sit in the front row, perhaps I will put Gennifer Flowers right alongside of him!",DonaldTrump
75,Sep-24,7.79663E+17,/realDonaldTrump/status/779662636770353152,TRUE,"""@KellyannePolls: Trump is headed for a win, says professor who has predicted 30 years of presidential outcomes   http://wpo.st/hQg-2 """,DonaldTrump
76,Sep-24,7.7966E+17,/realDonaldTrump/status/779660413000617985,FALSE,The @SenTedCruz endorsement was a wonderful surprise. I greatly appreciate his support! We will have a tremendous victory on November 8th.,DonaldTrump
77,Sep-23,7.79503E+17,/realDonaldTrump/status/779503099492831233,FALSE,"Crooked Hillary's bad judgement forced her to announce that she would go to Charlotte on Saturday to grandstand. Dem pols said no way, dumb!",DonaldTrump
78,Sep-22,7.79141E+17,/realDonaldTrump/status/779140534753435648,FALSE,Spoke with Governor @PatMcCroryNC of North Carolina today. He is doing a tremendous job under tough circumstances.,DonaldTrump
79,Sep-21,7.78724E+17,/realDonaldTrump/status/778724315244040194,FALSE,"Great new polls! Thank you Nevada, North Carolina & Ohio. Join the MOVEMENT today & lets #MAGA!
http://www.DonaldJTrump.com pic.twitter.com/NnHAEe8Daz",DonaldTrump
80,Sep-21,7.78585E+17,/realDonaldTrump/status/778585375174451200,FALSE,"Hopefully the violence & unrest in Charlotte will come to an immediate end. To those injured, get well soon. We need unity & leadership.",DonaldTrump
81,Sep-21,7.78585E+17,/realDonaldTrump/status/778584630396129281,FALSE,The situations in Tulsa and Charlotte are tragic. We must come together to make America safe again.,DonaldTrump
82,Sep-21,7.78554E+17,/realDonaldTrump/status/778553790568001540,FALSE,"It is a MOVEMENT - not a campaign. Leaving the past behind, changing our future. Together, we will MAKE AMERICA SAFE AND GREAT AGAIN!pic.twitter.com/9uRE3tpo4l",DonaldTrump
83,Sep-20,7.78385E+17,/realDonaldTrump/status/778385212505989120,FALSE,"Thank you Kenansville, North Carolina! Remember- on November 8th, that special interest gravy train is coming to a very abrupt end! #MAGApic.twitter.com/DFzuUrWogB",DonaldTrump
84,Sep-20,7.78331E+17,/realDonaldTrump/status/778331181083418624,FALSE,"Thank you High Point, NC! I will fight for every neglected part of this nation & I will fight to bring us together as one American people!pic.twitter.com/BJh3D5sU3h",DonaldTrump
85,Sep-20,7.78238E+17,/realDonaldTrump/status/778238281196662784,FALSE,"Hillary Clinton is taking the day off again, she needs the rest. Sleep well Hillary - see you at the debate!",DonaldTrump
86,Sep-20,7.78237E+17,/realDonaldTrump/status/778237485402980352,FALSE,Do people notice Hillary is copying my airplane rallies - she puts the plane behind her like I have been doing from the beginning.,DonaldTrump
87,Sep-20,7.78203E+17,/realDonaldTrump/status/778202693215068161,FALSE,"Crooked Hillary has been fighting ISIS, or whatever she has been doing, for years. Now she has new ideas. It is time for change.",DonaldTrump
88,Sep-19,7.78026E+17,/realDonaldTrump/status/778025630956912640,FALSE,"Together, we will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #AmericaFirstpic.twitter.com/XhwUGw0v2H",DonaldTrump
89,Sep-19,7.77914E+17,/realDonaldTrump/status/777913567676866560,FALSE,"Hillary Clinton's weakness while she was Secretary of State, has emboldened terrorists all over the world..cont: http://bit.ly/2cNwnwE ",DonaldTrump
90,Sep-19,7.7791E+17,/realDonaldTrump/status/777910435425226753,FALSE,Once again someone we were told is ok turns out to be a terrorist who wants to destroy our country & its people- how did he get thru system?,DonaldTrump
91,Sep-19,7.77908E+17,/realDonaldTrump/status/777908242538196992,FALSE,"Great job once again by law enforcement! We are proud of them and should embrace them - without them, we don't have a country!",DonaldTrump
92,Sep-18,7.77697E+17,/realDonaldTrump/status/777696726933180416,FALSE,"Terrible attacks in NY, NJ and MN this weekend. Thinking of victims, their families and all Americans! We need to be strong!",DonaldTrump
93,Sep-18,7.77696E+17,/realDonaldTrump/status/777696356211326976,FALSE,"Under the leadership of Obama & Clinton, Americans have experienced more attacks at home than victories abroad. Time to change the playbook!",DonaldTrump
94,Sep-18,7.77616E+17,/realDonaldTrump/status/777616135856545792,FALSE,HAPPY BIRTHDAY - to the United States Air Force!!pic.twitter.com/5Gwi1M5R2t,DonaldTrump
95,Sep-18,7.77494E+17,/realDonaldTrump/status/777494113834917888,FALSE,"I would like to express my warmest regards, best wishes and condolences to all of the families and victims of the horrible bombing in NYC.",DonaldTrump
96,Sep-17,7.7728E+17,/realDonaldTrump/status/777280259875975169,FALSE,"My lawyers want to sue the failing @nytimes so badly for irresponsible intent. I said no (for now), but they are watching. Really disgusting",DonaldTrump
97,Sep-17,7.77261E+17,/realDonaldTrump/status/777260548991819776,FALSE,"The failing @nytimes has gone nuts that Crooked Hillary is doing so badly. They are willing to say anything, has become a laughingstock rag!",DonaldTrump
98,Sep-17,7.77198E+17,/realDonaldTrump/status/777197604887113728,FALSE,"Wacky @NYTimesDowd, who hardly knows me, makes up things that I never said for her boring interviews and column. A neurotic dope!",DonaldTrump
99,Sep-17,7.77133E+17,/realDonaldTrump/status/777133433915002880,FALSE,".@CNN just doesn't get it, and that's why their ratings are so low - and getting worse. Boring anti-Trump panelists, mostly losers in life!",DonaldTrump
100,Sep-17,7.77113E+17,/realDonaldTrump/status/777112789672341504,FALSE,I never met former Defense Secretary Robert Gates. He knows nothing about me. But look at the results under his guidance - a total disaster!,DonaldTrump
101,Sep-17,7.77023E+17,/realDonaldTrump/status/777022559367770112,FALSE,Crooked Hillary wants to take your 2nd Amendment rights away. Will guns be taken from her heavily armed Secret Service detail? Maybe not!,DonaldTrump
102,Sep-17,7.77016E+17,/realDonaldTrump/status/777015676586172417,FALSE,My thoughts and prayers go out to the @PhillyPolice & @Penn police officers- in Philadelphia.http://abc7news.com/news/2-police-officers-shot-in-west-philadelphia;-suspect-dead-/1515355/?utm_source=dlvr.it&utm_medium=twitter …,DonaldTrump
103,Sep-17,7.77013E+17,/realDonaldTrump/status/777013142526185473,FALSE,"""Donald Trump’s birther event is the greatest trick he’s ever pulled""http://wapo.st/2cQoAQC ",DonaldTrump
